Date,Time Started,Time Ended,Total Hours,Activity
<2021-06-18 Fri>,17:00,18:00,01:00,registered for SUNY albany UHS
<2021-06-20 Sun>,11:00,12:30,01:30,set up suny and contacted mentor
<2021-06-21 Mon>,18:30,19:55,01:25,created hours list
<2021-06-22 Tue>,10:00,15:00,05:00,downloaded data
<2021-06-23 Wed>,10:00,12:21,02:21,organized data
<2021-06-24 Thu>,10:00,10:24,00:24,organized data
<2021-06-27 Sun>,16:00,17:55,01:55,analyzed data
<2021-07-06 Tue>,17:35,19:35,02:00,analyzed data
<2021-07-07 Wed>,16:54,18:23,01:29,"organized reference list, read paper"
<2021-07-08 Thu>,17:30,20:00,02:30,"organized portfolio, read paper, learned about wavelets"
<2021-07-12 Mon>,20:00,21:00,01:00,set up computer for science
<2021-07-13 Tue>,8:32,9:20,00:48,read journal article
<2021-07-13 Tue>,17:00,17:45,00:45,read journal article
<2021-07-13 Tue>,20:30,21:50,01:20,read journal article
<2021-07-15 Thu>,17:10,19:30,02:20,"emailed Ms. Fleming, analyzed data"
<2021-07-18 Sun>,12:30,13:30,01:00,worked on data
<2021-07-18 Sun>,14:00,15:45,01:45,worked on data
<2021-07-19 Mon>,13:50,16:30,02:40,"learned how to do wavelet analysis in R, worked on data"
<2021-07-20 Tue>,17:30,19:45,02:15,"worked on Regeneron STS application, did data, outlined presentation"
<2021-07-21 Wed>,20:30,21:40,01:10,"planned presentation, worked on data"
<2021-07-22 Thu>,16:45,17:45,01:00,made presentation skeleton
<2021-07-22 Thu>,20:30,21:30,01:00,"did a little data, showed presentation skeleton to mom"
<2021-07-26 Mon>,17:00,19:30,02:30,data analysis stuff
<2021-07-27 Tue>,20:30,22:00,01:30,"emailed ms. fleming, worked on presentation"
<2021-07-28 Wed>,20:30,22:00,01:30,data analysis wavelet confusion
<2021-07-29 Thu>,17:50,18:50,01:00,zoom call with mentor
<2021-07-30 Fri>,17:00,18:00,01:00,zoom call with mentor
<2021-08-01 Sun>,15:20,17:25,02:05,data analysis
<2021-08-02 Mon>,19:40,21:22,01:42,data analysis
<2021-08-03 Tue>,19:30,21:00,01:30,"downloaded data, learned to use note-taking plugin"
<2021-08-04 Wed>,20:00,22:10,02:10,downloaded data and stacked dataset
<2021-08-05 Thu>,20:00,22:30,02:30,"downloaded data and stacked dataset, contacted mentor"
<2021-08-08 Sun>,13:30,15:00,01:30,data analysis
<2021-08-09 Mon>,16:50,19:50,03:00,worked on data
<2021-08-10 Tue>,20:00,23:00,03:00,worked on data (made very good picture for presentation)
<2021-08-11 Wed>,21:30,23:16,01:46,worked on presentation
<2021-08-12 Thu>,18:30,19:30,01:00,worked on data
<2021-08-15 Sun>,10:20,11:00,00:40,contacted mentor
<2021-08-15 Sun>,13:20,15:20,02:00,"took notes, worked on paper"
<2021-08-16 Mon>,15:00,17:15,02:15,"sts application, contacted mentor, worked on data"
<2021-08-17 Tue>,16:45,19:45,03:00,data analysis
<2021-08-18 Wed>,14:15,17:00,02:45,data analysis
<2021-08-19 Thu>,18:30,21:00,02:30,"made paper outline, data analysis now I am confused :("
<2021-08-20 Fri>,12:00,15:10,03:10,worked on presentation
<2021-08-22 Sun>,15:35,20:00,04:25,worked on presentation
<2021-08-23 Mon>,21:15,24:00,02:45,Exchanged results and methodology with peers
<2021-08-31 Tue>,12:00,13:20,01:20,Worked on paper
<2021-09-03 Fri>,13:30,14:30,01:00,compiled summer work
